team,pct_make_divisional,pct_make_conf_champ,pct_make_superbowl,pct_win_superbowl
DET,1.0,0.6854,0.4478,0.2547
KC,1.0,0.7098,0.4711,0.2459
PHI,0.6759,0.4486,0.2092,0.1079
BUF,0.6449,0.3843,0.1752,0.0798
BAL,0.6664,0.3393,0.1486,0.0665
MIN,0.5517,0.2547,0.121,0.0615
WAS,0.4768,0.1638,0.0608,0.0315
LA,0.5232,0.1967,0.0696,0.0309
LAC,0.4629,0.1772,0.0638,0.0273
HOU,0.5371,0.1789,0.0612,0.0232
TB,0.4483,0.1515,0.0525,0.0199
GB,0.3241,0.0993,0.0391,0.0187
DEN,0.3551,0.0999,0.0417,0.0177
PIT,0.3336,0.1106,0.0384,0.0145
